id,name,description,ingredients,steps,tags,minutes
15,Mushroom Risotto,"A rich, fine-dining quality Italian rice dish, deeply savory with browned mushrooms, white wine, and parmesan.","['1.5 cups arborio rice', '300g cremini or button mushrooms, sliced', '1/2 cup freshly grated parmesan cheese', '1/2 cup dry white wine', '1 small white onion, finely diced', '3 tbsp unsalted butter', '4 cups hot vegetable stock', '2 cloves garlic, minced', '1 tsp fresh thyme']","['Keep the vegetable stock warm in a saucepan over low heat on a separate burner.', 'In a wide, heavy-bottomed pan or Dutch oven, melt 1 tbsp butter over medium-high heat. Add the sliced mushrooms and cook until browned (about 6-8 minutes). Remove half the mushrooms for garnish.', 'Reduce heat to medium, add 1 tbsp butter, and sauté the diced onion for 4 minutes until translucent.', 'Add the minced garlic and thyme, cooking for 1 minute.', 'Add the arborio rice to the pan and toast it, stirring constantly, for 2-3 minutes until the edges of the grains become translucent.', 'Pour in the white wine and stir continuously until the liquid is almost completely absorbed.', 'Begin adding the hot vegetable stock one ladleful (about 1/2 cup) at a time, stirring constantly and allowing each addition to be absorbed before adding the next. This process will take 18-22 minutes.', 'Once the rice is tender but still has a slight bite (al dente), remove the pan from heat.', 'Vigorously stir in the remaining 1 tbsp butter, parmesan cheese, and the cooked mushrooms. The risotto should be creamy and ooze slowly on a plate.', 'Serve immediately, garnished with the reserved browned mushrooms and extra parmesan.']","['italian', 'vegetarian', 'risotto', 'category:main']",50
16,Authentic Spaghetti Carbonara,"A Roman classic made purely with egg yolks, sharp pecorino cheese, lots of black pepper, and crispy guanciale.","['400g spaghetti', '3 large eggs (room temperature)', '150g crispy bacon or pancetta, diced', '1 cup freshly grated parmesan or pecorino romano', '1 tbsp coarse black pepper, freshly ground', 'Salt for pasta water']","['Bring a large pot of heavily salted water to a rolling boil. Add spaghetti and cook according to package instructions until al dente (usually 9-11 minutes).', 'While pasta cooks, heat a large dry skillet over medium heat. Add the diced bacon/pancetta and fry slowly for 8-10 minutes until crispy and the fat has rendered. Turn off the heat but leave the meat and fat in the pan.', 'In a serving bowl, whisk the eggs and the grated parmesan cheese together until it forms a thick paste. Mix in the freshly ground black pepper.', 'Before draining the pasta, reserve 1 cup of the starchy pasta water.', 'Using tongs, quickly transfer the hot, dripping spaghetti directly from the water into the skillet with the bacon and toss to coat in the fat.', 'Immediately transfer the pasta and bacon mixture into the bowl with the egg and cheese mixture. Working very quickly, toss continuously so the residual heat from the pasta cooks the eggs into a silky sauce without scrambling them.', 'Add splashes of the reserved pasta water (1-2 tablespoons at a time) as you toss, until the sauce reaches a creamy consistency.', 'Serve immediately and top with extra pepper and cheese.']","['italian', 'pasta', 'category:main']",25
17,Authentic Pad Thai,"Thailand’s most famous street food: sweet, tangy, and savory stir-fried rice noodles with eggs and crushed peanuts.","['200g flat rice noodles', '200g shrimp, peeled and deveined', '2 large eggs, lightly beaten', '1 cup fresh bean sprouts', '1/2 cup roasted peanuts, roughly crushed', '3 tbsp fish sauce', '1 lime, cut into wedges', '3 tbsp tamarind paste', '4 spring onions, cut into 2-inch pieces', '2 tbsp vegetable oil', '1 tbsp palm sugar or brown sugar']","['Soak the rice noodles in warm (not boiling) water for 30-40 minutes until they are pliable but completely firm. Drain and set aside.', 'In a small bowl, whisk together the tamarind paste, fish sauce, and palm sugar until the sugar is dissolved. This is your Pad Thai sauce.', 'Heat a large wok or skillet over high heat until very hot. Add 1 tbsp oil, and stir-fry the shrimp for 2 minutes until pink. Remove and set aside.', 'Wipe the wok if needed, add remaining 1 tbsp oil. Pour in the beaten eggs and quickly scramble them for 30 seconds.', 'Before the eggs fully set, add the drained rice noodles to the wok. Pour the Pad Thai sauce over the noodles.', 'Toss vigorously for 3-4 minutes, lifting the noodles so they cook evenly and absorb the sauce without breaking.', 'Add the cooked shrimp, bean sprouts, spring onions, and half the crushed peanuts to the wok. Toss everything together for 1 final minute until the vegetables are just heated through but still crunchy.', 'Serve immediately, garnished with the remaining peanuts and lime wedges on the side for squeezing.']","['thai', 'asian', 'seafood', 'category:main']",45
18,Perfect Fluffy Pancakes,"A towering stack of incredibly light, thick, and fluffy American diner-style morning pancakes.","['1.5 cups all-purpose flour', '2 large eggs', '1.25 cups milk', '3 tbsp melted butter', '2 tbsp granulated sugar', '3.5 tsp baking powder', '1 tsp vanilla extract', '1/2 tsp salt', 'Maple syrup for serving']","['In a large bowl, sift together the flour, baking powder, salt, and sugar. Make a well in the center.', 'In a separate medium bowl, whisk together the eggs, milk, melted butter, and vanilla extract until smooth.', 'Pour the wet ingredients into the well of the dry ingredients. Use a whisk or fork to gently mix until just combined.', 'Do not overmix; the batter should be slightly lumpy. Let the batter rest for 5-10 minutes. This is crucial for fluffiness.', 'Heat a lightly oiled griddle or non-stick frying pan over medium-high heat. Once hot, lower the heat to medium.', 'Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake.', 'Cook for about 2-3 minutes, until bubbles form on the surface of the pancake and the edges look set and dry.', 'Flip carefully with a wide spatula and cook the other side for 1-2 minutes until golden brown.', 'Serve warm immediately, stacked high, with butter and maple syrup.']","['american', 'breakfast', 'vegetarian', 'category:dessert']",25
19,Molten Chocolate Lava Cake,"A decadent, rich individual dessert with a perfectly baked dark chocolate exterior and a flowing liquid center.","['115g high-quality dark chocolate (70%), chopped', '115g unsalted butter, plus extra for greasing', '3 large eggs', '1/2 cup granulated sugar', '1/4 cup all-purpose flour', '1 tsp pure vanilla extract', '1 tbsp cocoa powder, for dusting the ramekins']","['Preheat your oven to 220°C (425°F). Generously butter four 6-ounce ramekins, then thoroughly dust the insides with cocoa powder, tapping out the excess.', 'Place the chopped dark chocolate and 115g butter in a heatproof bowl set over a saucepan of barely simmering water (a double boiler). Stir occasionally until completely melted and smooth. Remove from heat and let cool slightly.', 'In a separate large bowl, use an electric mixer or a whisk to beat the eggs and sugar on high speed for about 3 minutes, until pale, thick, and greatly increased in volume.', 'Gently fold the warm melted chocolate mixture and the vanilla extract into the whipped eggs using a silicone spatula.', 'Sift the flour over the mixture and fold it in very gently just until the flour disappears. Do not overmix.', 'Divide the batter evenly among the prepared ramekins. Place the ramekins on a baking sheet.', 'Bake for exactly 11-13 minutes. The edges should be set and baked, but the centers should still look soft and slightly jiggly.', 'Remove from the oven and let rest for exactly 1 minute.', 'Carefully run a thin knife around the edges, place an upside-down serving plate over the ramekin, and invert. Gently lift off the ramekin to reveal the cake.', 'Serve immediately with vanilla ice cream or a dusting of powdered sugar.']","['french', 'american', 'dessert', 'category:dessert']",35
20,Authentic Guacamole,"A fresh, bright, and chunky avocado dip spiced with sharp red onion, jalapeño, and loads of fresh lime.","['3 ripe Hass avocados', '1 lime, juiced', '1/2 medium red onion, very finely diced', '1 large Roma tomato, seeds removed and finely diced', '1/4 cup fresh cilantro (coriander), roughly chopped', '1 jalapeño pepper, seeds removed and minced', '1 tsp flaky sea salt', '1 clove garlic, minced to a paste']","['Cut the avocados in half, remove the pits, and scoop the flesh into a large mixing bowl.', 'Immediately pour the fresh lime juice over the avocado. This flavors it and prevents browning.', 'Using a fork or a potato masher, mash the avocado gently. Leave it slightly chunky for the best authentic texture; do not mash to a smooth puree.', 'Add the finely diced red onion, minced garlic, minced jalapeño, and chopped cilantro to the bowl.', 'Sprinkle the sea salt over the top.', 'Gently fold the ingredients together until combined.', 'Add the diced tomatoes last, folding them in very gently so they do not turn the guacamole watery.', 'Taste and adjust seasoning, adding more lime or salt if needed. Serve immediately with tortilla chips.']","['mexican', 'vegan', 'vegetarian', 'gluten-free', 'category:main']",15
201,Rogan Josh,"A delicious and authentic Rogan Josh, honoring traditional India cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'india', 'authentic', 'category:main']",45
202,Mutton Biryani,"A delicious and authentic Mutton Biryani, honoring traditional South Asia cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'south-asia', 'authentic', 'category:main']",45
203,Nihari,"A delicious and authentic Nihari, honoring traditional Pakistan/India cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'pakistan/india', 'authentic', 'category:main']",45
204,Mutton Korma,"A delicious and authentic Mutton Korma, honoring traditional Global cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'global', 'authentic', 'category:main']",45
205,Mutton Curry,"A delicious and authentic Mutton Curry, honoring traditional Global cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'global', 'authentic', 'category:main']",45
206,Shepherd’s Pie,"A delicious and authentic Shepherd’s Pie, honoring traditional UK, often lamb cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'uk,-often-lamb', 'authentic', 'category:main']",45
207,Moussaka,"A delicious and authentic Moussaka, honoring traditional Greece cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'greece', 'authentic', 'category:main']",45
208,Lamb Tagine,"A delicious and authentic Lamb Tagine, honoring traditional Morocco cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'morocco', 'authentic', 'category:main']",45
209,Kebabs,"A delicious and authentic Kebabs, honoring traditional Middle East – Seekh, Shish cooking methods.","['500g mutton', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the mutton by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the mutton and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['mutton', 'middle-east-–-seekh,-shish', 'authentic', 'category:starter']",45
